model,hamming,jaccard,f1_macro,f1_samples
DeBERTa-small + LR (thr=0.5),0.0896,0.3985,0.3486,0.514
DeBERTa-small + LR + AdaThr-fine,0.1202,0.39,0.3677,0.5235
